name	type	group	opc_item	writes	reads	description
RelayInC7	Boolean	СилКорпус / Входные переменные / Аспирация			MnemoControlC	Входное реле ответа пускателя аспирации
RelayInC8	Boolean	СилКорпус / Входные переменные / Аспирация			MnemoControlC	Входное реле ответа пускателя аспирации
RelayInC9	Boolean	СилКорпус / Входные переменные / Аспирация			MnemoControlC	Входное реле ответа пускателя аспирации
RelayInForwardT1	Boolean	СилКорпус / Входные переменные / Транспортеры	|var|PLC210 (Arm32bit + Linux ).Application.PLC_PRG.mi1DI1		MnemoControlT	Входное реле ответа пускателя транспортера в прямом направлении
RelayInForwardT10	Boolean	СилКорпус / Входные переменные / Транспортеры			MnemoControlT	Входное реле ответа пускателя транспортера в прямом направлении
RelayInForwardT11	Boolean	СилКорпус / Входные переменные / Транспортеры			MnemoControlT	Входное реле ответа пускателя транспортера в прямом направлении
RelayInForwardT12	Boolean	СилКорпус / Входные переменные / Транспортеры			MnemoControlT	Входное реле ответа пускателя транспортера в прямом направлении
RelayInForwardT13	Boolean	СилКорпус / Входные переменные / Транспортеры			MnemoControlT	Входное реле ответа пускателя транспортера в прямом направлении
RelayInForwardT14	Boolean	СилКорпус / Входные переменные / Транспортеры			MnemoControlT	Входное реле ответа пускателя транспортера в прямом направлении
RelayInForwardT15	Boolean	СилКорпус / Входные переменные / Транспортеры			MnemoControlT	Входное реле ответа пускателя транспортера в прямом направлении
RelayInForwardT16	Boolean	СилКорпус / Входные переменные / Транспортеры			MnemoControlT	Входное реле ответа пускателя транспортера в прямом направлении
RelayInForwardT17	Boolean	СилКорпус / Входные переменные / Транспортеры			MnemoControlT	Входное реле ответа пускателя транспортера в прямом направлении
RelayInForwardT18	Boolean	СилКорпус / Входные переменные / Транспортеры			MnemoControlT	Входное реле ответа пускателя транспортера в прямом направлении
RelayInForwardT19	Boolean	СилКорпус / Входные переменные / Транспортеры				Входное реле ответа пускателя транспортера в прямом направлении
RelayInForwardT2	Boolean	СилКорпус / Входные переменные / Транспортеры	|var|PLC210 (Arm32bit + Linux ).Application.PLC_PRG.mi1DI11		MnemoControlT	Входное реле ответа пускателя транспортера в прямом направлении
RelayInForwardT20	Boolean	СилКорпус / Входные переменные / Транспортеры				Входное реле ответа пускателя транспортера в прямом направлении
RelayInForwardT3	Boolean	СилКорпус / Входные переменные / Транспортеры	|var|PLC210 (Arm32bit + Linux ).Application.PLC_PRG.mi1DI12		MnemoControlT	Входное реле ответа пускателя транспортера в прямом направлении
RelayInForwardT4	Boolean	СилКорпус / Входные переменные / Транспортеры	|var|PLC210 (Arm32bit + Linux ).Application.PLC_PRG.mi1DI3		MnemoControlT	Входное реле ответа пускателя транспортера в прямом направлении
RelayInForwardT5	Boolean	СилКорпус / Входные переменные / Транспортеры	|var|PLC210 (Arm32bit + Linux ).Application.PLC_PRG.mi1DI5		MnemoControlT	Входное реле ответа пускателя транспортера в прямом направлении
RelayInForwardT6	Boolean	СилКорпус / Входные переменные / Транспортеры	|var|PLC210 (Arm32bit + Linux ).Application.PLC_PRG.mi1DI7		MnemoControlT	Входное реле ответа пускателя транспортера в прямом направлении
RelayInForwardT7	Boolean	СилКорпус / Входные переменные / Транспортеры	|var|PLC210 (Arm32bit + Linux ).Application.PLC_PRG.mi1DI9		MnemoControlT	Входное реле ответа пускателя транспортера в прямом направлении
RelayInForwardT8	Boolean	СилКорпус / Входные переменные / Транспортеры			MnemoControlT	Входное реле ответа пускателя транспортера в прямом направлении
RelayInForwardT9	Boolean	СилКорпус / Входные переменные / Транспортеры			MnemoControlT	Входное реле ответа пускателя транспортера в прямом направлении
RelayInN1	Boolean	СилКорпус / Входные переменные / Нории	|var|PLC210 (Arm32bit + Linux ).Application.PLC_PRG.mi1DI17		MnemoControlN	Входное реле ответа пускателя нории
RelayInN10	Boolean	СилКорпус / Входные переменные / Нории				Входное реле ответа пускателя нории
RelayInN2	Boolean	СилКорпус / Входные переменные / Нории	|var|PLC210 (Arm32bit + Linux ).Application.PLC_PRG.mi1DI18		MnemoControlN	Входное реле ответа пускателя нории
RelayInN3	Boolean	СилКорпус / Входные переменные / Нории	|var|PLC210 (Arm32bit + Linux ).Application.PLC_PRG.mi1DI19		MnemoControlN	Входное реле ответа пускателя нории
RelayInN4	Boolean	СилКорпус / Входные переменные / Нории	|var|PLC210 (Arm32bit + Linux ).Application.PLC_PRG.mi1DI20		MnemoControlN	Входное реле ответа пускателя нории
RelayInN5	Boolean	СилКорпус / Входные переменные / Нории	|var|PLC210 (Arm32bit + Linux ).Application.PLC_PRG.mi1DI21		MnemoControlN	Входное реле ответа пускателя нории
RelayInN6	Boolean	СилКорпус / Входные переменные / Нории	|var|PLC210 (Arm32bit + Linux ).Application.PLC_PRG.mi1DI22		MnemoControlN	Входное реле ответа пускателя нории
RelayInN7	Boolean	СилКорпус / Входные переменные / Нории			MnemoControlN	Входное реле ответа пускателя нории
RelayInN8	Boolean	СилКорпус / Входные переменные / Нории			MnemoControlN	Входное реле ответа пускателя нории
RelayInN9	Boolean	СилКорпус / Входные переменные / Нории			MnemoControlN	Входное реле ответа пускателя нории
RelayInReversT1	Boolean	СилКорпус / Входные переменные / Транспортеры	|var|PLC210 (Arm32bit + Linux ).Application.PLC_PRG.mi1DI2		MnemoControlT	Входное реле ответа пускателя транспортера в обратном направлении
RelayInReversT10	Boolean	СилКорпус / Входные переменные / Транспортеры			MnemoControlT	Входное реле ответа пускателя транспортера в обратном направлении
RelayInReversT11	Boolean	СилКорпус / Входные переменные / Транспортеры			MnemoControlT	Входное реле ответа пускателя транспортера в обратном направлении
RelayInReversT12	Boolean	СилКорпус / Входные переменные / Транспортеры			MnemoControlT	Входное реле ответа пускателя транспортера в обратном направлении
RelayInReversT13	Boolean	СилКорпус / Входные переменные / Транспортеры			MnemoControlT	Входное реле ответа пускателя транспортера в обратном направлении
RelayInReversT14	Boolean	СилКорпус / Входные переменные / Транспортеры			MnemoControlT	Входное реле ответа пускателя транспортера в обратном направлении
RelayInReversT15	Boolean	СилКорпус / Входные переменные / Транспортеры			MnemoControlT	Входное реле ответа пускателя транспортера в обратном направлении
RelayInReversT16	Boolean	СилКорпус / Входные переменные / Транспортеры			MnemoControlT	Входное реле ответа пускателя транспортера в обратном направлении
RelayInReversT17	Boolean	СилКорпус / Входные переменные / Транспортеры			MnemoControlT	Входное реле ответа пускателя транспортера в обратном направлении
RelayInReversT18	Boolean	СилКорпус / Входные переменные / Транспортеры			MnemoControlT	Входное реле ответа пускателя транспортера в обратном направлении
RelayInReversT19	Boolean	СилКорпус / Входные переменные / Транспортеры				Входное реле ответа пускателя транспортера в обратном направлении
RelayInReversT2	Boolean	СилКорпус / Входные переменные / Транспортеры	|var|PLC210 (Arm32bit + Linux ).Application.PLC_PRG.mi1DI4		MnemoControlT	Входное реле ответа пускателя транспортера в обратном направлении
RelayInReversT20	Boolean	СилКорпус / Входные переменные / Транспортеры				Входное реле ответа пускателя транспортера в обратном направлении
RelayInReversT3	Boolean	СилКорпус / Входные переменные / Транспортеры	|var|PLC210 (Arm32bit + Linux ).Application.PLC_PRG.mi1DI6		MnemoControlT	Входное реле ответа пускателя транспортера в обратном направлении
