SysCurrentTime	Текущее время
T6LatchClose4	Входое реле концевика закрытого состояния задвижки
T6LatchClose5	Входое реле концевика закрытого состояния задвижки
T6LatchClose6	Входое реле концевика закрытого состояния задвижки
T6LatchClose7	Входое реле концевика закрытого состояния задвижки
T6LatchClose8	Входое реле концевика закрытого состояния задвижки
T6LatchClose9	Входое реле концевика закрытого состояния задвижки
T6LatchClose10	Входое реле концевика закрытого состояния задвижки
T7LatchOpen1	Входое реле концевика открытого состояния задвижки
T7LatchOpen2	Входое реле концевика открытого состояния задвижки
T7LatchOpen3	Входое реле концевика открытого состояния задвижки
T7LatchOpen4	Входое реле концевика открытого состояния задвижки
T7LatchOpen5	Входое реле концевика открытого состояния задвижки
T7LatchOpen6	Входое реле концевика открытого состояния задвижки
T7LatchOpen7	Входое реле концевика открытого состояния задвижки
T7LatchOpen8	Входое реле концевика открытого состояния задвижки
T7LatchOpen9	Входое реле концевика открытого состояния задвижки
T7LatchOpen10	Входое реле концевика открытого состояния задвижки
T7LatchClose1	Входое реле концевика закрытого состояния задвижки
T7LatchClose2	Входое реле концевика закрытого состояния задвижки
T7LatchClose3	Входое реле концевика закрытого состояния задвижки
T7LatchClose4	Входое реле концевика закрытого состояния задвижки
T7LatchClose5	Входое реле концевика закрытого состояния задвижки
T7LatchClose6	Входое реле концевика закрытого состояния задвижки
T7LatchClose7	Входое реле концевика закрытого состояния задвижки
T7LatchClose8	Входое реле концевика закрытого состояния задвижки
T7LatchClose9	Входое реле концевика закрытого состояния задвижки
T7LatchClose10	Входое реле концевика закрытого состояния задвижки
T4LatchOpen1	Входое реле концевика открытого состояния задвижки
